"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35"
"203","花蛤蒸蛋","培根紫菜卷","鲜美鳝鱼","番茄炖牛腩 ","糖醋蕃茄溜青花","谷稻小庄 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","葱姜炒蟹","芝麻烤紫菜","辣炒花蛤","豌豆薯仔猪骨汤","重庆特色油烧兔","青炒扁豆","酸辣藕丁","38度剑南春 ","南瓜枸杞小饼干","啤酒鸭","凉拌菠菜",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","清蒸蝶鱼","凉拌海带豆芽紫菜","白斩鸡","凉拌萝卜丝","三色凉拌手撕兔","意文柠檬汁 ","糖醋蕃茄溜青花",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","蒜蓉生蚝","芝士烩波士顿龙虾","黄花菜炒木耳","小炒羊腰 ","白胡椒胡萝卜羊肉汤","西瓜胡萝卜沙拉","香烤牛排 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","剁椒鱼头","小炒羊腰 ","拌土豆丝","桂圆枸杞鸽子汤","番茄有机花菜",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","孜然羊排","清炒菊花菜","谷稻小庄 ","冰糖红豆薏米粥","广式虾仁肠粉",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","香酥两吃大虾","爆炒双丝","番茄甘蓝","张裕葡萄酒张裕赤霞珠干红 ","蒙古烤羊腿 ","西瓜胡萝卜沙拉","党参黄芪炖牛尾 "," 北冰洋汽水 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","水煮鱼","玉竹南北杏鸭腿汤","孜然羊排","红酒土豆烧鸭腿 ","油焖麻辣虾","木须豌豆","白胡椒胡萝卜羊肉汤","肉丁茄子","番茄炖牛腩 ","鸡蛋、肉末肠粉","清爽拌凉面","皮蛋瘦肉粥","山药养生粥","五色糯米饭(七色)","桂圆肉红豆八宝饭",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","辣炒花蛤","打卤面","酸辣藕丁","香菇鸡肉粥",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","香酥两吃大虾","爆炒双丝","桂圆肉红豆八宝饭","山药养生粥",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","水煮鱼","培根花菜","凉拌菠菜","焖猪手","蓝带啤酒罐装",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","姜葱炒花蟹","蒜蓉生蚝","清爽拌凉面","酸辣汤面",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","水煮鱼","黄花菜炒木耳","葡萄奶酥(超酥香的饼干)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","芝士烩波士顿龙虾","香烤牛排 ","香酥两吃大虾","红酒炖羊肉","凉拌萝卜丝","番茄甘蓝","番茄炖秋葵","南瓜枸杞小饼干","大蒜苋菜","紫薯面包卷","纸杯蛋糕","哈尔滨啤酒罐装",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","香酥两吃大虾","糖醋蕃茄溜青花","照烧鸡腿 ","党参黄芪炖牛尾 ","焖猪手","香辣腐乳炒虾","山药养生粥","番茄有机花菜","木须豌豆","皮蛋瘦肉粥","黑米恋上葡萄","桂圆肉红豆八宝饭",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","葱姜炒蟹","白胡椒胡萝卜羊肉汤","干锅田鸡","木须豌豆","露露无糖杏仁露",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","剁椒鱼头","独家薄荷鲜虾牛肉卷 ","爆炒猪肝","啤酒鸭","肉丁茄子","番茄有机花菜","桂圆肉红豆八宝饭","葡萄奶酥(超酥香的饼干)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","水煮鱼","美妙绝伦之白莲花",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","西瓜胡萝卜沙拉","拌土豆丝","金玉良缘","香菇鹌鹑蛋","香烤牛排 ","番茄炖牛腩 ","52度泸州老窖 ","黄油曲奇饼干","党参黄芪炖牛尾 ","蛋挞","一品香酥藕","皮蛋瘦肉粥","冰糖红豆薏米粥",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","油焖麻辣虾","姜葱炒花蟹","麻辣小龙虾","青炒扁豆"," 北冰洋汽水 ","葡萄奶酥(超酥香的饼干)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","百里香奶油烤紅酒牛肉","芝士烩波士顿龙虾","50度古井贡酒","蛋挞","黑米恋上葡萄",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","蒜香辣花甲","干锅田鸡","清炒菊花菜","农夫山泉NFC果汁100%橙汁",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","清蒸蝶鱼","泡椒凤爪 ","糖醋蕃茄溜青花",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","凉拌菠菜","姜葱炒花蟹","超人气广式肠粉",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","香烤牛排 ","百里香奶油烤紅酒牛肉","蛋挞","小米南瓜粥",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","麻辣小龙虾"," 北冰洋汽水 ","桂圆枸杞鸽子汤","小米南瓜粥",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","香酥两吃大虾","水煮鱼","蒜香辣花甲","五香酱驴肉 ","凉拌菠菜","哈尔滨啤酒罐装","美妙绝伦之白莲花","蒜香包",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","香酥两吃大虾","清蒸蝶鱼","重庆特色油烧兔","鲜美鳝鱼","剁椒鱼头","玉竹南北杏鸭腿汤","杭椒鸡珍","黄花菜炒木耳","美妙绝伦之白莲花","黑米恋上葡萄","西瓜胡萝卜沙拉","52度泸州老窖 ","五色糯米饭(七色)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","姜葱炒花蟹","麻辣小龙虾","小炒羊腰 "," 北冰洋汽水 ","葱油凉拌藕片","番茄蛋汤",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285","焖猪手","泡椒凤爪 ","炝炒大白菜",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286","蒜蓉生蚝","啤酒鸭","木须豌豆",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287","番茄炖牛腩 ","拌土豆丝","白斩鸡","焖猪手","番茄有机花菜","意文柠檬汁 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289","避风塘炒蟹","拌土豆丝","黄油曲奇饼干","小米南瓜粥","山药养生粥",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290","蛋挞","西瓜胡萝卜沙拉","蒜香辣花甲","小米南瓜粥",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292","拌土豆丝","盘蟹蒸蛋","香辣腐乳炒虾","不加一滴油的酸奶蛋糕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294","蒜香辣花甲","小炒羊腰 ","肉丁茄子","拌土豆丝",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297","香辣腐乳炒虾","蓝带啤酒罐装","五色糯米饭(七色)","桂圆肉红豆八宝饭","独家薄荷鲜虾牛肉卷 ","党参黄芪炖牛尾 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298","辣炒鱿鱼","白斩鸡","番茄蛋汤","爆炒猪肝","拌土豆丝","五彩藕苗","芹菜炒腰花","露露无糖杏仁露",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301","白斩鸡","香烤牛排 ","干锅田鸡","桂圆枸杞鸽子汤","番茄有机花菜",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302","芝士烩波士顿龙虾","油焖麻辣虾","香辣腐乳炒虾","爆炒猪肝","谷稻小庄 ","芹黄鳝丝","盘蟹蒸蛋","南瓜枸杞小饼干","老式面包","香菇鸡肉粥","泡椒凤爪 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303","剁椒鱼头","蒜香辣花甲","盘蟹蒸蛋","清蒸蝶鱼","白胡椒胡萝卜羊肉汤","凉拌菠菜",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304","番茄蛋汤","拌土豆丝","麻辣小龙虾","哈尔滨啤酒罐装","凉拌菠菜",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305","油焖麻辣虾","照烧鸡腿 ","凉拌萝卜丝","香菇鹌鹑蛋",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306","香辣腐乳炒虾","清蒸蝶鱼","豌豆薯仔猪骨汤","大蒜苋菜","酸辣藕丁",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307","姜葱炒花蟹","清蒸海鱼","辣炒海带丝","干锅田鸡","青炒扁豆","黄花菜炒木耳",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308","麻辣小龙虾","焖猪手","剁椒鱼头","炝炒大白菜","农夫山泉NFC果汁100%橙汁","清炒菊花菜","糖醋蕃茄溜青花","美妙绝伦之白莲花","凉拌菠菜",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310","芝士烩波士顿龙虾","西瓜胡萝卜沙拉","小米南瓜粥",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311","蒜香辣花甲","桂圆枸杞鸽子汤","啤酒鸭","焖猪手","红酒炖羊肉","番茄甘蓝","桂圆肉红豆八宝饭","山药养生粥",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312","白胡椒胡萝卜羊肉汤","三色凉拌手撕兔","独家薄荷鲜虾牛肉卷 ","番茄有机花菜","凉拌萝卜丝","清蒸海鱼",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313","香辣腐乳炒虾","党参黄芪炖牛尾 ","焖猪手","番茄有机花菜","黄花菜炒木耳","辣炒海带丝","谷稻小庄 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314","油焖麻辣虾","水煮鱼","蒜香辣花甲","番茄炖牛腩 ","香菇鹌鹑蛋","香烤牛排 ","酸辣藕丁","党参黄芪炖牛尾 ","番茄有机花菜","意文柠檬汁 "," 北冰洋汽水 ","谷稻小庄 ","打卤面","清爽拌凉面","农夫山泉NFC果汁100%橙汁","冰糖红豆薏米粥","酸辣汤面","宝宝版牛肉肠粉","桂圆肉红豆八宝饭","皮蛋瘦肉粥","五色糯米饭(七色)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317","辣炒鱿鱼","姜葱炒花蟹","独家薄荷鲜虾牛肉卷 ","焖猪手","红酒炖羊肉","凉拌菠菜","桂圆枸杞鸽子汤","蓝带啤酒罐装","干锅田鸡",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"318","香辣腐乳炒虾","牛尾汤","番茄炖牛腩 ","芝士烩波士顿龙虾","香菇鹌鹑蛋","番茄炖秋葵","五彩藕苗","酸辣藕丁","豌豆薯仔猪骨汤","大蒜苋菜","焖猪手","啤酒鸭","白斩鸡","爆炒猪肝","52度泸州老窖 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"320","麻辣小龙虾","姜葱炒花蟹","孜然羊排","路易拉菲红酒干红","炝炒大白菜","山药养生粥",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"321","辣炒鱿鱼","香辣腐乳炒虾","番茄炖牛腩 ","爆炒鸡翅","凉拌蒜蓉西兰花","酸辣藕丁","香菇鹌鹑蛋","桂圆肉红豆八宝饭","山药养生粥",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"322","香酥两吃大虾","五香酱驴肉 ","干锅田鸡","冰镇花螺","爆炒鸡翅","清蒸海鱼","糖醋蕃茄溜青花","木须豌豆","冬瓜炒苦瓜","凉拌蒜蓉西兰花","黄花菜炒木耳","青炒扁豆","特醇嘉士伯啤酒罐装","50度古井贡酒",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"326","避风塘炒蟹","辣炒花蛤","辣炒鱿鱼","番茄炖牛腩 ","香辣爆羊肝 ","爆炒猪肝","爆炒鸡翅","糖醋蕃茄溜青花","木须豌豆","皮蛋瘦肉粥","水煮鱼",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329","辣炒花蛤","水煮鱼","爆炒鸡翅","凉拌蒜蓉西兰花","哈尔滨啤酒罐装","皮蛋瘦肉粥","桂圆肉红豆八宝饭","山药养生粥","酸辣汤面",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
